"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"296","sp17","sp19",2,-0.14405436606169,-0.154450806410151,-0.0816784345210231,3,20
"297","sp17","sp19",3,-0.0252635007429793,-0.0392686053570824,-0.0304155821657901,3,20
"298","sp17","sp19",4,-0.209826323487665,-0.210180676623189,-0.207767319874962,3,20
"299","sp17","sp19",5,-0.171896827857398,-0.172689429226071,-0.121655870638723,3,20
"300","sp17","sp19",6,-0.0497673649936244,-0.0609867993404167,-0.0573912255927445,3,20
"301","sp17","sp19",7,-0.109930177152348,-0.126776758893046,-0.0925065575087217,3,20
"302","sp17","sp19",8,-0.120656941719606,-0.120926127709518,-0.0743794845280242,3,20
"303","sp17","sp19",9,-0.100722264204804,-0.122879098585934,-0.0484505438964229,3,20
"304","sp17","sp19",10,-0.0345937252757818,-0.0435688853686398,NA,1,20
"305","sp17","sp23",7,-0.0470165762680158,-0.123472845539755,NA,1,20
"306","sp17","sp32",3,0.00922819900324634,0.0113536236634797,0.0124060543283969,3,20
"307","sp17","sp32",4,0.00966004072384596,0.0266888990881754,0.0229791755266023,3,20
"308","sp17","sp32",5,0.151610569913885,0.14117020917653,0.139227646342193,3,20
"309","sp17","sp32",6,0.140178175720712,0.122406680763808,0.112784681396803,3,20
"310","sp17","sp32",8,0.062321490114042,0.057768408517852,0.046664937209376,3,20
"311","sp17","sp32",10,0.102970125457999,0.103196110499425,0.112230189223265,3,20
"312","sp17","sp36",1,NA,-0.00143727008390178,NA,0,20
"313","sp18","sp20",7,-0.036308540160082,-0.0116020445435481,NA,1,20
"314","sp18","sp22",1,NA,NA,-0.0809972040942382,0,20
"315","sp18","sp23",1,NA,NA,-0.00307068590731722,0,20
"316","sp18","sp23",8,-0.0058968440263627,NA,NA,0,20
"317","sp18","sp24",1,NA,NA,-0.00760749584295865,0,20
"318","sp18","sp25",1,NA,NA,-0.00283520837657694,0,20
"319","sp18","sp27",1,NA,NA,-0.000405966693304049,0,20
"320","sp18","sp28",1,NA,NA,-0.00168511216123213,0,20
"321","sp19","sp23",7,0.00323828753160875,0.00987634298555668,NA,1,20
"322","sp19","sp32",3,NA,-0.000279187023748309,-0.000234561442546056,2,20
"323","sp19","sp32",4,-0.00126857063979983,-0.0125420919874082,-0.00299417251810169,3,20
"324","sp19","sp32",5,-0.0163349234676628,-0.015277626090362,-0.0105466151799894,3,20
"325","sp19","sp32",6,-0.00434555031148179,-0.00466030294260678,-0.00399207883069408,3,20
"326","sp19","sp32",8,-0.00471956686552311,-0.00438088566028012,-0.00215945764106188,3,20
"327","sp19","sp32",10,-0.00224660345111325,-0.00283338617303426,NA,1,20
"328","sp20","sp21",9,NA,NA,-0.022598137937151,0,20
"329","sp20","sp23",2,0.0611435416044096,0.0840844770121498,NA,1,20
"330","sp20","sp23",8,0.00176466656917513,0.00819751386353285,NA,1,20
"331","sp20","sp25",9,NA,NA,-0.000241124710395234,0,20
"332","sp20","sp27",2,NA,0.0685814616803485,NA,0,20
"333","sp20","sp27",6,0.0445909542280829,0.111674585920119,NA,1,20
"334","sp20","sp27",10,0.0302448353175931,0.0646854403620807,NA,1,20
"335","sp20","sp30",9,NA,NA,-0.000384194974661993,0,20
"336","sp20","sp37",2,NA,-0.00133844420156097,NA,0,20
"337","sp21","sp22",3,NA,NA,0.000245605969042501,0,20
"338","sp21","sp22",4,NA,NA,0.043813810618415,0,20
"339","sp21","sp22",5,NA,NA,0.0152187647020162,0,20
"340","sp21","sp22",6,NA,NA,0.000968413382833062,0,20
"341","sp21","sp22",7,NA,NA,0.00346035860945134,0,20
"342","sp21","sp22",8,NA,NA,0.0102004108314149,0,20
"343","sp21","sp22",9,NA,NA,0.000403126584771909,0,20
"344","sp21","sp22",10,NA,NA,0.00450649416122315,0,20
"345","sp21","sp24",3,NA,NA,0.00519444196730917,0,20
"346","sp21","sp24",4,NA,NA,0.121498238855638,0,20
"347","sp21","sp24",5,NA,NA,0.0214309028311205,0,20
"348","sp21","sp24",7,NA,NA,0.000276522577881937,0,20
"349","sp21","sp24",8,NA,NA,0.0164368418145217,0,20
"350","sp21","sp24",9,NA,NA,0.00122318325572677,0,20
"351","sp21","sp24",10,NA,NA,0.00118064112904777,0,20
"352","sp21","sp25",3,NA,NA,0.0464522683116656,0,20
"353","sp21","sp25",4,NA,NA,0.0122750674049427,0,20
"354","sp21","sp25",5,NA,NA,0.000854782068544239,0,20
"355","sp21","sp25",6,NA,NA,0.000814307546036162,0,20
"356","sp21","sp25",7,NA,NA,0.00288506151294199,0,20
"357","sp21","sp25",8,NA,NA,0.00053463056160682,0,20
"358","sp21","sp25",9,NA,NA,0.0171294928829496,0,20
"359","sp21","sp28",2,NA,NA,0.0178458304244946,0,20
"360","sp21","sp28",3,NA,NA,0.0194483655479879,0,20
"361","sp21","sp28",4,NA,NA,0.157922606835199,0,20
"362","sp21","sp28",5,NA,NA,0.0686539152398772,0,20
"363","sp21","sp28",6,NA,NA,0.0174739243441866,0,20
"364","sp21","sp28",7,NA,NA,0.00625188919782847,0,20
"365","sp21","sp28",8,NA,NA,0.00374616757813854,0,20
"366","sp21","sp28",9,NA,NA,0.00180984750857209,0,20
"367","sp21","sp28",10,NA,NA,0.0415285040967603,0,20
"368","sp21","sp29",4,NA,NA,0.00129117358776199,0,20
"369","sp21","sp29",9,NA,NA,0.000711508233226743,0,20
"370","sp21","sp30",2,NA,NA,0.175285744022727,0,20
"371","sp21","sp30",3,NA,NA,0.134334577013348,0,20
"372","sp21","sp30",4,NA,NA,0.261317128187734,0,20
"373","sp21","sp30",5,NA,NA,0.15779197011919,0,20
"374","sp21","sp30",6,NA,NA,0.146087357267681,0,20
"375","sp21","sp30",7,NA,NA,0.141849864674723,0,20
"376","sp21","sp30",8,NA,NA,0.155950196586538,0,20
"377","sp21","sp30",9,NA,NA,0.0272932005720486,0,20
"378","sp21","sp30",10,NA,NA,0.131679172908942,0,20
"379","sp21","sp40",1,NA,NA,-0.0310609520971195,0,20
"380","sp22","sp23",1,NA,NA,0.0612408074256678,0,20
"381","sp22","sp23",9,NA,NA,0.0245788644245954,0,20
"382","sp22","sp24",1,NA,NA,0.151721537638777,0,20
"383","sp22","sp24",4,NA,NA,0.0175433467442753,0,20
"384","sp22","sp24",5,NA,NA,0.000203083395930568,0,20
"385","sp22","sp24",7,NA,NA,0.000356694817553393,0,20
"386","sp22","sp24",8,NA,NA,0.0110806017666051,0,20
"387","sp22","sp24",9,NA,NA,0.000323741603345887,0,20
