"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"302","sp22","sp46",2,NA,0.000233744553673169,NA,0,0.1
"303","sp22","sp48",5,-0.0476516611066395,-0.0405011873223837,-0.0391169172137583,3,0.1
"304","sp23","sp27",2,NA,0.00386256735191121,NA,0,0.1
"305","sp23","sp31",5,NA,-0.000237675031107564,NA,0,0.1
"306","sp23","sp47",5,NA,0.0273324764625756,NA,0,0.1
"307","sp24","sp25",4,NA,0.0554344784376601,NA,0,0.1
"308","sp24","sp25",7,0.0287244429856903,0.00893396236962374,0.0486735409513796,3,0.1
"309","sp24","sp25",8,0.023450864119596,0.0395125323225112,0.0351081083709456,3,0.1
"310","sp24","sp31",3,NA,0.000203665911411765,NA,0,0.1
"311","sp24","sp42",2,-0.00205976360827077,-0.00204011097988834,-0.00881311140946234,3,0.1
"312","sp24","sp42",4,NA,-0.0511982636917842,NA,0,0.1
"313","sp24","sp42",6,NA,-0.0148538505064537,NA,0,0.1
"314","sp25","sp42",4,NA,-0.00202090312614394,NA,0,0.1
"315","sp25","sp50",2,NA,0.000263731445019215,NA,0,0.1
"316","sp27","sp30",1,-0.000532540562478858,NA,NA,0,0.1
"317","sp27","sp39",1,-0.00240680335257409,-0.000546922683570746,-0.000872465299226304,3,0.1
"318","sp27","sp49",1,-0.07751679453417,-0.0665679304286534,-0.0663607979034761,3,0.1
"319","sp28","sp30",2,NA,0.0380924681330873,NA,0,0.1
"320","sp28","sp30",3,0.114966914905869,0.033994694192405,0.124944913441671,3,0.1
"321","sp28","sp30",4,NA,0.00913386957565619,NA,0,0.1
"322","sp28","sp44",2,0.000363152710523342,NA,NA,0,0.1
"323","sp28","sp46",2,0.0124989316773656,NA,0.00615616756575212,0,0.1
"324","sp28","sp46",10,0.0390938643817245,NA,0.0283722468025589,0,0.1
"325","sp29","sp40",5,NA,0.000363105591362053,0.000566370367456065,2,0.1
"326","sp30","sp38",1,NA,-0.0277343334791131,NA,0,0.1
"327","sp30","sp39",1,0.000294605942031948,NA,NA,0,0.1
"328","sp30","sp49",1,0.00948848116428452,NA,NA,0,0.1
"329","sp31","sp35",3,0.0558516836714548,0.0616579932316475,0.0466579380641007,3,0.1
