"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","Connectance"
"498",2,NA,NA,0.0217216160929741,0,0.1
"499",3,NA,NA,0.0219117495807873,0,0.1
"500",4,NA,NA,0.000788856540758535,0,0.1
"501",5,NA,NA,0.0283456191242409,0,0.1
"502",6,NA,NA,0.0354486036766878,0,0.1
"503",7,NA,NA,0.0070871867020086,0,0.1
"504",8,NA,NA,0.0174849026666517,0,0.1
"505",9,NA,NA,0.0068691937953002,0,0.1
"506",10,NA,NA,0.0108517349286415,0,0.1
"507",1,NA,NA,0.0301860792930399,0,0.1
"508",2,NA,NA,0.127491700122232,0,0.1
"509",3,NA,NA,0.0291476757963581,0,0.1
"510",4,NA,NA,0.0232140395524005,0,0.1
"511",5,NA,NA,0.120407912422781,0,0.1
"512",6,NA,NA,0.114656260171155,0,0.1
